,dim,walk_len,n_walks,p,q,window,hopkins
291,50,5,10,0.75,1.0,5,0.6939342680728051
292,50,5,10,0.75,1.0,10,0.673885421924765
293,50,5,10,0.75,1.0,15,0.6662167990122133
294,50,5,15,0.75,1.0,5,0.6644874302673774
295,50,5,15,0.75,1.0,10,0.701486284322757
296,50,5,15,0.75,1.0,15,0.6171317758778393
297,50,15,5,0.75,1.0,5,0.7027535362182737
298,50,15,5,0.75,1.0,10,0.6447780176474579
299,50,15,5,0.75,1.0,15,0.635097252746104
300,50,15,10,0.75,1.0,5,0.6143120068955119
301,50,15,10,0.75,1.0,10,0.6317763467117253
302,50,15,10,0.75,1.0,15,0.6516023124159865
303,50,15,15,0.75,1.0,5,0.5715792641069605
304,50,15,15,0.75,1.0,10,0.5347810651455687
305,50,15,15,0.75,1.0,15,0.5673409099482655
306,50,25,5,0.75,1.0,5,0.6231206400829646
307,50,25,5,0.75,1.0,10,0.6411267992526409
308,50,25,5,0.75,1.0,15,0.5914288405862944
309,50,25,10,0.75,1.0,5,0.5280973988371266
310,50,25,10,0.75,1.0,10,0.6263673755776022
311,50,25,10,0.75,1.0,15,0.4282177701641309
312,50,25,15,0.75,1.0,5,0.6423919811305459
313,50,25,15,0.75,1.0,10,0.5244076207779131
314,50,25,15,0.75,1.0,15,0.5001465180953681
315,50,35,5,0.75,1.0,5,0.5569747984193852
316,50,35,5,0.75,1.0,10,0.2631759917385771
317,50,35,5,0.75,1.0,15,0.5161448258166428
318,50,35,10,0.75,1.0,5,0.5562606891135394
319,50,35,10,0.75,1.0,10,0.6478374381483991
320,50,35,10,0.75,1.0,15,0.5223435656591932
321,50,35,15,0.75,1.0,5,0.6371298329854578
322,50,35,15,0.75,1.0,10,0.4662573000719565
323,50,35,15,0.75,1.0,15,0.600519347580433
324,50,45,5,0.75,1.0,5,0.5354019426776501
325,50,45,5,0.75,1.0,10,0.4890344200382647
326,50,45,5,0.75,1.0,15,0.5174831899707054
327,50,45,10,0.75,1.0,5,0.6156769963878789
328,50,45,10,0.75,1.0,10,0.46446444671635145
329,50,45,10,0.75,1.0,15,0.5268471536778413
330,50,45,15,0.75,1.0,5,0.5037244511225082
331,50,45,15,0.75,1.0,10,0.42792428707972496
332,50,45,15,0.75,1.0,15,0.6276491613612879
333,50,55,5,0.75,1.0,5,0.4784291358762762
334,50,55,5,0.75,1.0,10,0.47834134349009094
335,50,55,5,0.75,1.0,15,0.5130276303300816
336,50,55,10,0.75,1.0,5,0.5586418796186171
337,50,55,10,0.75,1.0,10,0.6316401820899005
338,50,55,10,0.75,1.0,15,0.5249253805923141
339,50,55,15,0.75,1.0,5,0.5369271048067302
340,50,55,15,0.75,1.0,10,0.5300993739872095
341,50,55,15,0.75,1.0,15,0.5405774365752226
342,50,65,5,0.75,1.0,5,0.348898541047575
343,50,65,5,0.75,1.0,10,0.5302541428052049
344,50,65,5,0.75,1.0,15,0.39507315928813913
345,50,65,10,0.75,1.0,5,0.556204195136663
346,50,65,10,0.75,1.0,10,0.4118256766440684
347,50,65,10,0.75,1.0,15,0.6253189888047425
348,50,65,15,0.75,1.0,5,0.512704779886331
349,50,65,15,0.75,1.0,10,0.6141640511641296
350,50,65,15,0.75,1.0,15,0.5275215109280287
351,50,75,5,0.75,1.0,5,0.4183297678297868
352,50,75,5,0.75,1.0,10,0.6386277453393326
353,50,75,5,0.75,1.0,15,0.4311231927102603
354,50,75,10,0.75,1.0,5,0.6215740141825591
355,50,75,10,0.75,1.0,10,0.5005663641349096
356,50,75,10,0.75,1.0,15,0.425587288931982
357,50,75,15,0.75,1.0,5,0.497248513030238
358,50,75,15,0.75,1.0,10,0.4884250343356431
359,50,75,15,0.75,1.0,15,0.6270797772320404
360,60,5,5,0.75,1.0,5,0.5984549901320066
361,60,5,5,0.75,1.0,10,0.6831756766872794
362,60,5,5,0.75,1.0,15,0.7160784642897605
363,60,5,10,0.75,1.0,5,0.6347083513466532
364,60,5,10,0.75,1.0,10,0.69503050674073
365,60,5,10,0.75,1.0,15,0.6717768637388551
366,60,5,15,0.75,1.0,5,0.6424444024280208
367,60,5,15,0.75,1.0,10,0.6805954085911454
368,60,5,15,0.75,1.0,15,0.6996286579378621
369,60,15,5,0.75,1.0,5,0.6955074626853167
370,60,15,5,0.75,1.0,10,0.6417297808629584
371,60,15,5,0.75,1.0,15,0.6580158476372556
372,60,15,10,0.75,1.0,5,0.6379744466955402
373,60,15,10,0.75,1.0,10,0.6391040367700687
374,60,15,10,0.75,1.0,15,0.5701677685582446
375,60,15,15,0.75,1.0,5,0.6046191328857827
376,60,15,15,0.75,1.0,10,0.5093780089536418
377,60,15,15,0.75,1.0,15,0.5901383101951078
378,60,25,5,0.75,1.0,5,0.6686720038679147
379,60,25,5,0.75,1.0,10,0.4522918561588699
380,60,25,5,0.75,1.0,15,0.6678483138768698
381,60,25,10,0.75,1.0,5,0.45317013175789816
382,60,25,10,0.75,1.0,10,0.5218613832324619
383,60,25,10,0.75,1.0,15,0.4244218410341128
384,60,25,15,0.75,1.0,5,0.5956107385606325
385,60,25,15,0.75,1.0,10,0.37708441036510154
386,60,25,15,0.75,1.0,15,0.5200893103893127
387,60,35,5,0.75,1.0,5,0.5427205001925683
388,60,35,5,0.75,1.0,10,0.554803755026614
389,60,35,5,0.75,1.0,15,0.46500373506876497
390,60,35,10,0.75,1.0,5,0.5967494840244453
391,60,35,10,0.75,1.0,10,0.456727385438481
392,60,35,10,0.75,1.0,15,0.45969970574418223
393,60,35,15,0.75,1.0,5,0.49868110442464586
394,60,35,15,0.75,1.0,10,0.5080945795259388
395,60,35,15,0.75,1.0,15,0.5382315724150617
396,60,45,5,0.75,1.0,5,0.5798662117688091
397,60,45,5,0.75,1.0,10,0.4501203006096577
398,60,45,5,0.75,1.0,15,0.3679054988408666
399,60,45,10,0.75,1.0,5,0.516876021244414
400,60,45,10,0.75,1.0,10,0.5041150717742896
401,60,45,10,0.75,1.0,15,0.5085102035049011
402,60,45,15,0.75,1.0,5,0.5992859521563378
403,60,45,15,0.75,1.0,10,0.4374987753001588
404,60,45,15,0.75,1.0,15,0.43354125256321746
405,60,55,5,0.75,1.0,5,0.42048076165218545
