,dim,walk_len,n_walks,p,q,window,ARI
315,50,35,5,0.75,1.0,5,0.06862745098039216
316,50,35,5,0.75,1.0,10,0.008064516129032258
317,50,35,5,0.75,1.0,15,0.008064516129032258
318,50,35,10,0.75,1.0,5,-0.024844720496894408
319,50,35,10,0.75,1.0,10,-0.024844720496894408
320,50,35,10,0.75,1.0,15,-0.024844720496894408
321,50,35,15,0.75,1.0,5,-0.024844720496894408
322,50,35,15,0.75,1.0,10,-0.024844720496894408
323,50,35,15,0.75,1.0,15,-0.024844720496894408
324,50,45,5,0.75,1.0,5,-0.024844720496894408
325,50,45,5,0.75,1.0,10,0.008064516129032258
326,50,45,5,0.75,1.0,15,-0.024844720496894408
327,50,45,10,0.75,1.0,5,-0.024844720496894408
328,50,45,10,0.75,1.0,10,-0.04032258064516129
329,50,45,10,0.75,1.0,15,-0.029411764705882353
330,50,45,15,0.75,1.0,5,-0.024844720496894408
331,50,45,15,0.75,1.0,10,-0.024844720496894408
332,50,45,15,0.75,1.0,15,-0.024844720496894408
333,50,55,5,0.75,1.0,5,0.056451612903225805
334,50,55,5,0.75,1.0,10,-0.024844720496894408
335,50,55,5,0.75,1.0,15,-0.024844720496894408
336,50,55,10,0.75,1.0,5,0.0196078431372549
337,50,55,10,0.75,1.0,10,-0.024844720496894408
338,50,55,10,0.75,1.0,15,-0.04032258064516129
339,50,55,15,0.75,1.0,5,-0.024844720496894408
340,50,55,15,0.75,1.0,10,-0.024844720496894408
341,50,55,15,0.75,1.0,15,-0.024844720496894408
342,50,65,5,0.75,1.0,5,-0.029411764705882353
343,50,65,5,0.75,1.0,10,-0.024844720496894408
344,50,65,5,0.75,1.0,15,-0.024844720496894408
345,50,65,10,0.75,1.0,5,-0.024844720496894408
346,50,65,10,0.75,1.0,10,-0.024844720496894408
347,50,65,10,0.75,1.0,15,-0.024844720496894408
348,50,65,15,0.75,1.0,5,-0.024844720496894408
349,50,65,15,0.75,1.0,10,-0.024844720496894408
350,50,65,15,0.75,1.0,15,-0.024844720496894408
351,50,75,5,0.75,1.0,5,-0.024844720496894408
352,50,75,5,0.75,1.0,10,-0.024844720496894408
353,50,75,5,0.75,1.0,15,-0.024844720496894408
354,50,75,10,0.75,1.0,5,-0.024844720496894408
355,50,75,10,0.75,1.0,10,-0.024844720496894408
356,50,75,10,0.75,1.0,15,-0.024844720496894408
357,50,75,15,0.75,1.0,5,-0.024844720496894408
358,50,75,15,0.75,1.0,10,-0.024844720496894408
359,50,75,15,0.75,1.0,15,-0.024844720496894408
360,60,5,5,0.75,1.0,5,-0.08870967741935484
361,60,5,5,0.75,1.0,10,-0.0352760736196319
362,60,5,5,0.75,1.0,15,-0.04032258064516129
363,60,5,10,0.75,1.0,5,0.10483870967741936
364,60,5,10,0.75,1.0,10,0.10483870967741936
365,60,5,10,0.75,1.0,15,0.08018867924528301
366,60,5,15,0.75,1.0,5,-0.014150943396226415
367,60,5,15,0.75,1.0,10,0.14012738853503184
368,60,5,15,0.75,1.0,15,-0.04032258064516129
369,60,15,5,0.75,1.0,5,-0.04032258064516129
370,60,15,5,0.75,1.0,10,0.0330188679245283
371,60,15,5,0.75,1.0,15,0.056451612903225805
372,60,15,10,0.75,1.0,5,-0.04032258064516129
373,60,15,10,0.75,1.0,10,-0.029411764705882353
374,60,15,10,0.75,1.0,15,0.008064516129032258
375,60,15,15,0.75,1.0,5,0.0196078431372549
376,60,15,15,0.75,1.0,10,0.056451612903225805
377,60,15,15,0.75,1.0,15,0.056451612903225805
378,60,25,5,0.75,1.0,5,0.008064516129032258
379,60,25,5,0.75,1.0,10,0.056451612903225805
380,60,25,5,0.75,1.0,15,0.008064516129032258
381,60,25,10,0.75,1.0,5,0.06862745098039216
382,60,25,10,0.75,1.0,10,-0.024844720496894408
383,60,25,10,0.75,1.0,15,0.06862745098039216
384,60,25,15,0.75,1.0,5,-0.024844720496894408
385,60,25,15,0.75,1.0,10,0.008064516129032258
386,60,25,15,0.75,1.0,15,-0.024844720496894408
387,60,35,5,0.75,1.0,5,0.008064516129032258
388,60,35,5,0.75,1.0,10,0.056451612903225805
389,60,35,5,0.75,1.0,15,0.0196078431372549
390,60,35,10,0.75,1.0,5,-0.024844720496894408
391,60,35,10,0.75,1.0,10,-0.024844720496894408
392,60,35,10,0.75,1.0,15,-0.024844720496894408
393,60,35,15,0.75,1.0,5,-0.024844720496894408
394,60,35,15,0.75,1.0,10,-0.024844720496894408
395,60,35,15,0.75,1.0,15,-0.024844720496894408
396,60,45,5,0.75,1.0,5,-0.024844720496894408
397,60,45,5,0.75,1.0,10,-0.024844720496894408
398,60,45,5,0.75,1.0,15,-0.024844720496894408
399,60,45,10,0.75,1.0,5,-0.04032258064516129
400,60,45,10,0.75,1.0,10,0.008064516129032258
401,60,45,10,0.75,1.0,15,-0.024844720496894408
402,60,45,15,0.75,1.0,5,-0.024844720496894408
403,60,45,15,0.75,1.0,10,-0.024844720496894408
404,60,45,15,0.75,1.0,15,-0.024844720496894408
405,60,55,5,0.75,1.0,5,0.008064516129032258
406,60,55,5,0.75,1.0,10,-0.024844720496894408
407,60,55,5,0.75,1.0,15,-0.024844720496894408
408,60,55,10,0.75,1.0,5,-0.024844720496894408
409,60,55,10,0.75,1.0,10,0.056451612903225805
410,60,55,10,0.75,1.0,15,-0.029411764705882353
411,60,55,15,0.75,1.0,5,-0.024844720496894408
412,60,55,15,0.75,1.0,10,-0.024844720496894408
413,60,55,15,0.75,1.0,15,-0.024844720496894408
414,60,65,5,0.75,1.0,5,0.0196078431372549
415,60,65,5,0.75,1.0,10,-0.024844720496894408
416,60,65,5,0.75,1.0,15,0.008064516129032258
417,60,65,10,0.75,1.0,5,-0.024844720496894408
418,60,65,10,0.75,1.0,10,-0.024844720496894408
419,60,65,10,0.75,1.0,15,-0.024844720496894408
420,60,65,15,0.75,1.0,5,-0.024844720496894408
421,60,65,15,0.75,1.0,10,-0.024844720496894408
422,60,65,15,0.75,1.0,15,-0.024844720496894408
423,60,75,5,0.75,1.0,5,-0.029411764705882353
424,60,75,5,0.75,1.0,10,-0.024844720496894408
425,60,75,5,0.75,1.0,15,-0.024844720496894408
426,60,75,10,0.75,1.0,5,-0.024844720496894408
427,60,75,10,0.75,1.0,10,-0.04032258064516129
428,60,75,10,0.75,1.0,15,-0.024844720496894408
429,60,75,15,0.75,1.0,5,-0.024844720496894408
430,60,75,15,0.75,1.0,10,-0.024844720496894408
431,60,75,15,0.75,1.0,15,0.0330188679245283
432,70,5,5,0.75,1.0,5,-0.04032258064516129
433,70,5,5,0.75,1.0,10,-0.08870967741935484
434,70,5,5,0.75,1.0,15,-0.04032258064516129
435,70,5,10,0.75,1.0,5,-0.04032258064516129
436,70,5,10,0.75,1.0,10,0.008064516129032258
437,70,5,10,0.75,1.0,15,-0.12745098039215685
438,70,5,15,0.75,1.0,5,-0.10849056603773585
439,70,5,15,0.75,1.0,10,-0.08870967741935484
440,70,5,15,0.75,1.0,15,0.008064516129032258
441,70,15,5,0.75,1.0,5,0.1532258064516129
442,70,15,5,0.75,1.0,10,0.3137254901960784
443,70,15,5,0.75,1.0,15,0.16666666666666666
444,70,15,10,0.75,1.0,5,-0.029411764705882353
445,70,15,10,0.75,1.0,10,0.0196078431372549
446,70,15,10,0.75,1.0,15,0.008064516129032258
447,70,15,15,0.75,1.0,5,-0.014150943396226415
448,70,15,15,0.75,1.0,10,-0.014150943396226415
449,70,15,15,0.75,1.0,15,0.06862745098039216
450,70,25,5,0.75,1.0,5,0.008064516129032258
451,70,25,5,0.75,1.0,10,0.06862745098039216
452,70,25,5,0.75,1.0,15,0.06862745098039216
453,70,25,10,0.75,1.0,5,0.06862745098039216
454,70,25,10,0.75,1.0,10,-0.024844720496894408
455,70,25,10,0.75,1.0,15,0.06862745098039216
456,70,25,15,0.75,1.0,5,-0.024844720496894408
457,70,25,15,0.75,1.0,10,-0.024844720496894408
458,70,25,15,0.75,1.0,15,-0.024844720496894408
459,70,35,5,0.75,1.0,5,0.06862745098039216
460,70,35,5,0.75,1.0,10,0.06862745098039216
461,70,35,5,0.75,1.0,15,0.008064516129032258
462,70,35,10,0.75,1.0,5,-0.024844720496894408
