hhcluster_id,h_size,n_triangles
310100000133689669,32,3
310100000634859666,32,3
310100000647693409,32,3
310100000739408893,32,3
310100000852800314,32,3
310100001182280705,32,3
310100001936120890,32,3
310100001954320116,32,3
310100000011586974,32,2
310100000208136891,32,2
310100000214081122,32,2
310100001290720800,32,2
310100001469642735,32,2
310100001735099356,32,2
310100001912888505,32,2
310100001944869629,32,2
310100000387808288,32,1
310100000852580031,31,27
310100001937451973,31,25
310100001182436982,31,24
310100001666550048,31,23
310100001558372619,31,22
310100000914703033,31,21
310100001227555555,31,20
310100001262500091,31,20
310100002206198419,31,20
310100000217765671,31,19
310100000852793292,31,19
310100001041064663,31,19
310100000394406750,31,18
310100001101768080,31,18
310100000134699994,31,16
310100000220362566,31,16
310100000223275139,31,16
310100000700790198,31,16
310100000813448176,31,16
310100000906802955,31,16
310100000998676909,31,16
310100000001770995,31,15
310100000396217615,31,15
310100001116420662,31,15
310100001152661156,31,15
310100001201047020,31,15
310100001622576766,31,15
310100000007495425,31,14
310100000223516618,31,14
310100000226658821,31,14
310100000318996473,31,14
310100000344387007,31,14
310100000934104129,31,14
310100000958547590,31,14
310100000033045635,31,13
310100000206015589,31,13
310100000209834315,31,13
310100000218443009,31,13
310100000445375993,31,13
310100000771864474,31,13
310100001605007330,31,13
310100000212491876,31,12
310100000213323449,31,12
310100000225852190,31,12
310100000437935489,31,12
310100000821997390,31,12
310100001099528410,31,12
310100001472116576,31,12
310100000079132056,31,11
310100000172095688,31,11
310100000217299248,31,11
310100000233975334,31,11
310100000250353602,31,11
310100000294158850,31,11
310100000446431842,31,11
310100000501033182,31,11
310100000608208638,31,11
310100000612252167,31,11
310100000826769977,31,11
310100001068459339,31,11
310100001093601823,31,11
310100001096526192,31,11
310100001348861312,31,11
310100001501968112,31,11
310100001531523657,31,11
310100001671995203,31,11
310100001873357367,31,11
310100000001115498,31,10
310100000022170564,31,10
310100000032023776,31,10
310100000216080629,31,10
310100000789939392,31,10
310100000963119998,31,10
310100000974830990,31,10
310100001156482081,31,10
310100001187051640,31,10
310100001217888852,31,10
310100001310416491,31,10
310100001756384678,31,10
